sex,age,Nepal,Koshi,Madhesh,Bagmati,Gandaki,Lumbini,Karnali,Sudurpaschim
f,87,6597,1638,348,2304,1029,798,146,334
f,88,9958,2375,629,3527,1464,1071,232,660
f,89,4545,816,725,1314,606,618,134,332
f,90,7791,1146,1574,1901,879,1144,223,924
f,91,2548,610,139,815,408,290,60,226
f,92,2807,545,189,904,460,397,66,246
f,93,2317,479,122,776,386,273,65,216
f,94,1752,389,117,576,269,223,45,133
f,95,2491,398,611,555,265,332,59,271
f,96,1329,260,149,405,198,160,30,127
f,97,920,189,85,287,124,116,27,92
f,98,1572,254,177,444,252,235,57,153
f,99,933,109,80,202,241,169,65,67
f,100,3179,434,1003,544,258,558,69,313
